date,Solar (Rooftop) -  GWh,Solar (Utility) -  GWh,Wind -  GWh,Hydro -  GWh,Battery (Discharging) -  GWh,Gas (Reciprocating) -  GWh,Gas (OCGT) -  GWh,Gas (CCGT) -  GWh,Gas (Steam) -  GWh,Distillate -  GWh,Biomass -  GWh,Black Coal -  GWh,Brown Coal -  GWh,Pumps -  GWh,Battery (Charging) -  GWh,Price - AUD/MWh,Solar (Rooftop) Market Value - AUD,Solar (Utility) Market Value - AUD,Wind Market Value - AUD,Hydro Market Value - AUD,Battery (Discharging) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (Steam) Market Value - AUD,Distillate Market Value - AUD,Biomass Market Value - AUD,Black Coal Market Value - AUD,Brown Coal Market Value - AUD,Pumps Market Value - AUD,Battery (Charging) Market Value - AUD
1/1/09 0:00,3.42,0,227.29,1040.84,0,0,423.16,839.64,355.81,13.02,12.92,10251.98,4650.81,-16.34,0,105.34,0,0,41493307.34,216846430.6,0,0,171420634.3,129317933.6,148869534.5,15637432.29,686182.29,488350061.6,662407979.5,346006.58,0
1/2/09 0:00,3.28,0,221.07,883.44,0,0,321.01,806.69,330.67,2.83,12.62,9397.69,4351.46,-43.34,0,42.33,0,0,7592033.92,48269381.84,0,0,24565586.05,34988864.42,20669132.66,847936.21,430155.61,399864176.7,151177017.5,1010656.56,0
1/3/09 0:00,3.48,0,212.92,718.22,0,0,237.02,839.76,169.76,1.74,15.6,9854.49,4950.58,-9.41,0,26.86,0,0,5836059.23,25522996.89,0,0,7739973.67,25135022.08,7554935.24,241842.22,435244.23,255774828.8,128060479.2,172552.33,0
1/4/09 0:00,3.26,0,214.61,832.51,0,0,328.81,822.13,320.51,2.57,-0.54,8991.61,4456.34,-1.27,0,38.17,0,0,8795962.63,52375850.31,0,0,15254881.99,30968522.98,15319981.13,169845.73,-17300.98,320369619.5,166305843.9,21358.13,0
1/5/09 0:00,2.95,0,195.99,989.19,0,0,317.7,928.17,356.47,4.19,-0.53,9591.53,4778.33,-5.15,0,31.49,0,0,5632751.97,43760167.37,0,0,11245534.95,29669009.55,14019405.67,111004.08,-14444.78,285087348.6,150690324.8,105214.88,0
1/6/09 0:00,2.94,0,265.67,1051.8,0,0,361.09,875.67,315.59,0.31,28.11,9948.83,4838.71,-3.32,0,40.12,0,0,9937216.84,143317040.3,0,0,30910520.03,31769409.5,12506758.62,10006.23,738058.45,334953423.2,145270381.6,55915.61,0
1/7/09 0:00,2.97,0,411.68,1318.04,0,0,369.2,849.24,284.48,1.9,48.22,10258.05,4842.62,-15.43,0,29.84,0,0,10275767.04,42014018.11,0,0,15342037.54,26411870.36,9510017.67,127903.41,1332106.4,312186852.1,130597376.1,310528.18,0
1/8/09 0:00,3.62,0,511.21,1322.97,0,0,278.61,895.79,179.17,0.18,47.69,9613.43,4791.43,-27.04,0,23.9,0,0,10533536.11,30615120.95,0,0,7159289.34,21876554.84,4967286.1,4383.1,1129572.54,235536474.3,108662799.8,495392.44,0
1/9/09 0:00,7.32,0,452.17,1274.12,0,0,373.37,1005.26,202.98,3.18,51.3,8650.76,4368.11,-13.59,0,24.86,0,0,10738172.41,29738000.7,0,0,9943243.63,26293729.88,6063338.04,96618.57,1265552.66,221591630.1,101106860.4,287926.28,0
1/10/09 0:00,8.26,0,383.85,971.49,0,0,467.5,1154.34,182.44,5.64,46.32,8897.85,4743.78,-21.81,0,27.23,0,0,9777836.07,27285671.07,0,0,13865232.4,32976702.84,5907865.62,141656.98,1241269.26,244937332.5,122033657.2,430552.72,0
1/11/09 0:00,10.4,0,326.74,960.69,0,0,667.25,1106.85,337.11,18.55,13.89,9326.94,4622.59,-69.46,0,105.2,0,0,39491099.8,155874783,0,0,180472048.5,164988902.9,70603376.34,23708349.86,1285833.08,964860426,219483801.6,1381235.61,0
1/12/09 0:00,13.03,0,354.61,865.62,0,0,522.53,1069.78,203.83,7.01,11.91,9580.71,4953.9,-82.24,0,64.68,0,0,14190610.78,142765904.5,0,0,61460072.63,62422051.86,6621980.31,2592861.41,467982.78,723150799.7,116780547.5,1556622.17,0
