Back to Contents,Data 1: Areas for production summary,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s
Sourcekey,N9010US2,N9010AK2,N9010AR2,N9010CA2,N9010CO2,N9010FX2,N9010KS2,N9010LA2,N9010MT2,N9010NM2,N9010ND2,N9010OH2,N9010OK2,N9010PA2,N9010TX2,N9010UT2,N9010WV2,N9010WY2
Date,U.S. Natural Gas Gross Withdrawals (MMcf),Alaska Natural Gas Gross Withdrawals (MMcf),Arkansas Natural Gas Gross Withdrawals (MMcf),California Natural Gas Gross Withdrawals (MMcf),Colorado Natural Gas Gross Withdrawals (MMcf),Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals (MMcf),Kansas Natural Gas Gross Withdrawals (MMcf),Louisiana Natural Gas Gross Withdrawals (MMcf),Montana Natural Gas Gross Withdrawals (MMcf),New Mexico Natural Gas Gross Withdrawals (MMcf),North Dakota Natural Gas Gross Withdrawals (MMcf),Ohio Natural Gas Gross Withdrawals (MMcf),Oklahoma Natural Gas Gross Withdrawals (MMcf),Pennsylvania Natural Gas Gross Withdrawals (MMcf),Texas Natural Gas Gross Withdrawals (MMcf),Utah Natural Gas Gross Withdrawals (MMcf),West Virginia Natural Gas Gross Withdrawals (MMcf),Wyoming Natural Gas Gross Withdrawals (MMcf)
26679.0,,,,,,,,,,,,,,,,,,
26710.0,,,,,,,,,,,,,,,,,,
26738.0,,,,,,,,,,,,,,,,,,
26769.0,,,,,,,,,,,,,,,,,,
26799.0,,,,,,,,,,,,,,,,,,
26830.0,,,,,,,,,,,,,,,,,,
26860.0,,,,,,,,,,,,,,,,,,
26891.0,,,,,,,,,,,,,,,,,,
26922.0,,,,,,,,,,,,,,,,,,
26952.0,,,,,,,,,,,,,,,,,,
26983.0,,,,,,,,,,,,,,,,,,
27013.0,,,,,,,,,,,,,,,,,,
27044.0,,,,,,,,,,,,,,,,,,
27075.0,,,,,,,,,,,,,,,,,,
27103.0,,,,,,,,,,,,,,,,,,
27134.0,,,,,,,,,,,,,,,,,,
27164.0,,,,,,,,,,,,,,,,,,
27195.0,,,,,,,,,,,,,,,,,,
27225.0,,,,,,,,,,,,,,,,,,
27256.0,,,,,,,,,,,,,,,,,,
27287.0,,,,,,,,,,,,,,,,,,
27317.0,,,,,,,,,,,,,,,,,,
27348.0,,,,,,,,,,,,,,,,,,
27378.0,,,,,,,,,,,,,,,,,,
27409.0,,,,,,,,,,,,,,,,,,
27440.0,,,,,,,,,,,,,,,,,,
27468.0,,,,,,,,,,,,,,,,,,
27499.0,,,,,,,,,,,,,,,,,,
27529.0,,,,,,,,,,,,,,,,,,
27560.0,,,,,,,,,,,,,,,,,,
27590.0,,,,,,,,,,,,,,,,,,
27621.0,,,,,,,,,,,,,,,,,,
27652.0,,,,,,,,,,,,,,,,,,
27682.0,,,,,,,,,,,,,,,,,,
27713.0,,,,,,,,,,,,,,,,,,
27743.0,,,,,,,,,,,,,,,,,,
27774.0,,,,,,,,,,,,,,,,,,
27805.0,,,,,,,,,,,,,,,,,,
27834.0,,,,,,,,,,,,,,,,,,
27865.0,,,,,,,,,,,,,,,,,,
27895.0,,,,,,,,,,,,,,,,,,
27926.0,,,,,,,,,,,,,,,,,,
27956.0,,,,,,,,,,,,,,,,,,
27987.0,,,,,,,,,,,,,,,,,,
28018.0,,,,,,,,,,,,,,,,,,
28048.0,,,,,,,,,,,,,,,,,,
28079.0,,,,,,,,,,,,,,,,,,
28109.0,,,,,,,,,,,,,,,,,,
28140.0,,,,,,,,,,,,,,,,,,
28171.0,,,,,,,,,,,,,,,,,,
28199.0,,,,,,,,,,,,,,,,,,
28230.0,,,,,,,,,,,,,,,,,,
28260.0,,,,,,,,,,,,,,,,,,
28291.0,,,,,,,,,,,,,,,,,,
28321.0,,,,,,,,,,,,,,,,,,
28352.0,,,,,,,,,,,,,,,,,,
28383.0,,,,,,,,,,,,,,,,,,
28413.0,,,,,,,,,,,,,,,,,,
28444.0,,,,,,,,,,,,,,,,,,
28474.0,,,,,,,,,,,,,,,,,,
28505.0,,,,,,,,,,,,,,,,,,
28536.0,,,,,,,,,,,,,,,,,,
28564.0,,,,,,,,,,,,,,,,,,
28595.0,,,,,,,,,,,,,,,,,,
28625.0,,,,,,,,,,,,,,,,,,
28656.0,,,,,,,,,,,,,,,,,,
28686.0,,,,,,,,,,,,,,,,,,
28717.0,,,,,,,,,,,,,,,,,,
28748.0,,,,,,,,,,,,,,,,,,
28778.0,,,,,,,,,,,,,,,,,,
28809.0,,,,,,,,,,,,,,,,,,
28839.0,,,,,,,,,,,,,,,,,,
28870.0,,,,,,,,,,,,,,,,,,
28901.0,,,,,,,,,,,,,,,,,,
28929.0,,,,,,,,,,,,,,,,,,
28960.0,,,,,,,,,,,,,,,,,,
28990.0,,,,,,,,,,,,,,,,,,
29021.0,,,,,,,,,,,,,,,,,,
29051.0,,,,,,,,,,,,,,,,,,
29082.0,,,,,,,,,,,,,,,,,,
29113.0,,,,,,,,,,,,,,,,,,
29143.0,,,,,,,,,,,,,,,,,,
29174.0,,,,,,,,,,,,,,,,,,
29204.0,,,,,,,,,,,,,,,,,,
29235.0,1960000.0,,,,,,,,,,,,,,,,,
29266.0,1840000.0,,,,,,,,,,,,,,,,,
29295.0,1971000.0,,,,,,,,,,,,,,,,,
29326.0,1806000.0,,,,,,,,,,,,,,,,,
29356.0,1840000.0,,,,,,,,,,,,,,,,,
29387.0,1725000.0,,,,,,,,,,,,,,,,,
29417.0,1756000.0,,,,,,,,,,,,,,,,,
29448.0,1716000.0,,,,,,,,,,,,,,,,,
29479.0,1723000.0,,,,,,,,,,,,,,,,,
29509.0,1790000.0,,,,,,,,,,,,,,,,,
29540.0,1790000.0,,,,,,,,,,,,,,,,,
29570.0,1949000.0,,,,,,,,,,,,,,,,,
29601.0,1890000.0,,,,,,,,,,,,,,,,,
29632.0,1702000.0,,,,,,,,,,,,,,,,,
29660.0,1871000.0,,,,,,,,,,,,,,,,,
