Month/Year,Rate Gas Mcf/Day,Sales Rate Gas Mcf/Day,Sales PRB Non Coal Bed Mcf/Day,Water Bbls/Day,Prod Wells,Shut-In Wells,Federal Gas,Fee Gas,State Gas,Total Gas Mcf,Sales Gas Mcf,Federal Water,Fee Water,State Water,Total Water Bbls
Jan-87,777,0,0,0,2,14,85,24109,0,24109,0,20,0,31,0
Feb-87,1258,0,0,0,2,14,77,35246,0,35246,0,21,0,28,0
Mar-87,591,0,0,0,2,14,85,18335,0,18335,0,23,0,31,0
Apr-87,755,0,0,0,4,9,110,22540,0,22650,0,0,0,30,0
May-87,435,0,0,0,4,9,252,13251,0,13503,0,0,0,0,0
Jun-87,1152,0,0,0,4,12,981,33592,0,34573,0,0,0,0,0
Jul-87,1269,0,0,0,4,12,1116,38245,0,39361,0,0,0,0,0
Aug-87,1658,0,0,0,4,12,1808,49600,0,51408,0,0,0,0,0
Sep-87,1392,0,0,0,4,12,1940,39839,0,41779,0,0,0,0,0
Oct-87,1329,0,0,0,4,12,1675,39553,1046,41228,0,0,0,0,0
Nov-87,1309,0,0,0,4,12,1563,37710,0,39273,0,0,0,0,0
Dec-87,1738,0,0,0,8,8,6334,47572,0,53906,0,0,0,0,0
Jan-88,1736,0,0,0,11,20,13936,39901,0,53837,0,0,0,31,0
Feb-88,2257,0,0,0,11,20,15338,50121,0,65459,0,0,0,29,0
Mar-88,2250,0,0,0,11,17,21586,48170,0,69756,0,0,0,0,0
Apr-88,2178,0,0,0,11,17,16751,48599,0,65350,0,0,0,90,0
May-88,1704,0,0,0,11,17,14456,38394,0,52850,0,0,0,90,0
Jun-88,1865,0,0,0,11,17,15220,40749,0,55969,0,0,0,30,0
Jul-88,1845,0,0,0,13,15,14842,42364,0,57206,0,0,0,0,0
Aug-88,1746,0,0,0,13,15,13920,40210,0,54130,0,0,0,31,0
Sep-88,1695,0,0,6,14,14,11893,38319,652,50864,0,0,0,200,200
Oct-88,1571,0,0,14,15,13,15091,32760,865,48716,0,0,0,445,445
Nov-88,1578,0,0,10,15,13,16255,30559,530,47344,0,0,0,300,300
Dec-88,1821,0,0,4,15,13,13807,42492,178,56477,0,0,0,150,150
Jan-89,1684,0,0,6,14,28,12151,39845,212,52208,0,0,0,200,200
Feb-89,2034,0,0,3,16,26,20833,36076,64,56973,0,0,0,100,100
Mar-89,2323,0,0,9,17,25,21483,50156,386,72025,0,0,0,300,300
Apr-89,2346,0,0,76,19,21,18466,51574,354,70394,0,0,2052,250,2302
May-89,2812,0,0,1210,20,21,18016,68843,319,87178,0,0,37200,315,37515
Jun-89,2875,0,0,1335,20,22,19974,66092,206,86272,0,5,39871,180,40056
Jul-89,2749,0,0,1319,20,22,17858,67357,14,85229,0,5,40882,20,40907
Aug-89,2083,0,0,1205,20,21,11691,52899,0,64590,0,0,37385,31,37385
Sep-89,2608,0,0,1405,24,18,14260,63809,176,78245,0,0,42053,120,42173
Oct-89,2392,0,0,4988,23,19,14131,59644,399,74174,0,0,154433,210,154643
Nov-89,2266,0,0,3784,23,19,14083,53686,215,67984,0,0,113396,150,113546
Dec-89,2263,0,0,1347,22,19,12761,57207,213,70181,0,0,41064,700,41764
Jan-90,2847,0,0,1402,24,52,12470,75754,60,88284,0,0,43402,60,43462
Feb-90,3078,0,0,1214,25,51,12020,74096,74,86190,0,0,33917,80,33997
Mar-90,2949,0,0,1116,26,49,10963,80423,47,91433,0,0,34580,40,34620
Apr-90,2380,0,0,1215,26,50,8351,62964,100,71415,0,0,36392,72,36464
May-90,2266,0,0,1139,28,46,6618,63380,249,70247,0,0,35188,144,35332
Jun-90,4215,0,0,2240,38,38,11056,115211,203,126470,0,0,67126,80,67206
Jul-90,3425,0,0,1649,35,41,9166,96882,156,106204,0,0,51092,40,51132
Aug-90,2753,0,0,1625,39,37,12553,72754,48,85355,0,2450,47916,10,50376
